INFO 2025-10-11 15:32:33,766 autoreload 29800 26240 Watching for file changes with StatReloader
INFO 2025-10-11 15:33:47,426 autoreload 30556 2296 Watching for file changes with StatReloader
INFO 2025-10-11 15:33:50,597 basehttp 30556 10692 "GET / HTTP/1.1" 200 35204
INFO 2025-10-11 15:33:50,739 basehttp 30556 4996 "GET /media/products/Coffee-Image.jpg HTTP/1.1" 200 217345
INFO 2025-10-11 15:33:50,740 basehttp 30556 10692 "GET /media/products/breakfast_blend.jpg HTTP/1.1" 200 888760
INFO 2025-10-11 15:33:50,746 basehttp 30556 10692 "GET /media/products/yirgacheffe-coffee.jpg HTTP/1.1" 200 36061
INFO 2025-10-11 15:33:50,746 basehttp 30556 4996 "GET /media/products/cafedeespecialidad-espresso-003.jpg HTTP/1.1" 200 343173
INFO 2025-10-11 15:33:50,752 basehttp 30556 10692 "GET /media/products/ai.jpg HTTP/1.1" 200 204166
INFO 2025-10-11 15:33:50,755 basehttp 30556 10692 "GET /media/products/images.jpg HTTP/1.1" 200 10193
INFO 2025-10-11 15:33:50,764 basehttp 30556 10692 "GET /media/products/R_YrG9Jj6.jpg HTTP/1.1" 200 889825
INFO 2025-10-11 15:33:50,823 basehttp 30556 18088 "GET /media/products/1-2-scaled-e1691638236735-600x600.jpg HTTP/1.1" 200 81532
INFO 2025-10-11 15:33:50,825 basehttp 30556 7356 "GET /media/products/377240011_0_640x640.jpg HTTP/1.1" 200 39518
INFO 2025-10-11 15:33:50,826 basehttp 30556 26332 "GET /media/products/Best-Decaf-Espresso-Beans-900x601.jpg HTTP/1.1" 200 122655
INFO 2025-10-11 15:33:50,836 basehttp 30556 30116 "GET /media/products/DSC_4084-scaled.jpg HTTP/1.1" 200 1216110
WARNING 2025-10-11 15:33:51,797 middleware 30556 4996 ERROR Response: 404 for /favicon.ico (0.02s) - IP: 127.0.0.1
WARNING 2025-10-11 15:33:51,811 log 30556 4996 Not Found: /favicon.ico
WARNING 2025-10-11 15:33:51,811 basehttp 30556 4996 "GET /favicon.ico HTTP/1.1" 404 11758
WARNING 2025-10-11 15:34:06,727 middleware 30556 10872 ERROR Response: 404 for /encryption-demo/ (0.00s) - IP: 127.0.0.1
WARNING 2025-10-11 15:34:06,728 log 30556 10872 Not Found: /encryption-demo/
WARNING 2025-10-11 15:34:06,728 basehttp 30556 10872 "GET /encryption-demo/ HTTP/1.1" 404 11773
WARNING 2025-10-11 15:34:07,800 middleware 30556 10872 ERROR Response: 404 for /favicon.ico (0.01s) - IP: 127.0.0.1
WARNING 2025-10-11 15:34:07,800 log 30556 10872 Not Found: /favicon.ico
WARNING 2025-10-11 15:34:07,801 basehttp 30556 10872 "GET /favicon.ico HTTP/1.1" 404 11758
INFO 2025-10-11 15:35:27,941 autoreload 30556 2296 C:\Users\LuisF\Desktop\TrabajoSeguridadInformacion\store\urls.py changed, reloading.
INFO 2025-10-11 15:35:28,442 autoreload 2520 24372 Watching for file changes with StatReloader
